YEAR;MONTH;DAY;AIRLINE;ORIGIN_AIRPORT;DESTINATION_AIRPORT;DEPARTURE_DELAY;ARRIVAL_DELAY;CANCELLED
2015;1;1;AS;ANC;SEA;-11.0;-22.0;0.0
2015;1;1;AA;LAX;PBI;-8.0;-9.0;0.0
2015;1;1;US;SFO;CLT;-2.0;5.0;0.0
2015;1;1;AA;LAX;MIA;-5.0;-9.0;0.0
2015;1;1;AS;SEA;ANC;-1.0;-21.0;0.0
2015;1;1;DL;SFO;MSP;-5.0;8.0;0.0
2015;1;1;NK;LAS;MSP;-6.0;-17.0;0.0
2015;1;1;US;LAX;CLT;14.0;-10.0;0.0
2015;1;1;AA;SFO;DFW;-11.0;-13.0;0.0
2015;1;1;DL;LAS;ATL;3.0;-15.0;0.0
2015;1;1;DL;DEN;ATL;-6.0;-30.0;0.0
2015;1;1;AA;LAS;MIA;-8.0;-10.0;0.0
2015;1;1;DL;LAX;MSP;0.0;-4.0;0.0
2015;1;1;DL;SLC;ATL;-6.0;-22.0;0.0
2015;1;1;DL;SEA;MSP;-1.0;8.0;0.0
2015;1;1;AS;ANC;SEA;-4.0;-14.0;0.0
2015;1;1;DL;ANC;SEA;-14.0;-24.0;0.0
2015;1;1;UA;SFO;IAH;-6.0;-7.0;0.0
2015;1;1;AS;ANC;PDX;-4.0;-18.0;0.0
2015;1;1;DL;PDX;MSP;-5.0;-12.0;0.0
2015;1;1;NK;LAS;MCI;25.0;6.0;0.0
2015;1;1;AA;SEA;MIA;-8.0;1.0;0.0
2015;1;1;NK;LAS;DFW;-1.0;-1.0;0.0
2015;1;1;AA;LAX;MIA;-2.0;-12.0;0.0
2015;1;1;DL;LAS;MSP;-3.0;-23.0;0.0
2015;1;1;UA;LAX;IAH;-3.0;-11.0;0.0
2015;1;1;AS;FAI;SEA;-8.0;-3.0;0.0
2015;1;1;NK;MSP;FLL;12.0;25.0;0.0
2015;1;1;US;LAS;CLT;-10.0;-31.0;0.0
2015;1;1;AA;DEN;MIA;21.0;2.0;0.0
2015;1;1;NK;PHX;ORD;72.0;43.0;0.0
2015;1;1;AA;PHX;MIA;-11.0;-16.0;0.0
2015;1;1;DL;SLC;ATL;-6.0;10.0;0.0
2015;1;1;NK;LAS;IAH;-4.0;-4.0;0.0
2015;1;1;HA;LAS;HNL;0.0;15.0;0.0
2015;1;1;US;ANC;PHX;-9.0;-10.0;0.0
2015;1;1;UA;SJU;EWR;3.0;-11.0;0.0
2015;1;1;AS;ANC;SEA;-15.0;-35.0;0.0
2015;1;1;B6;SJU;JFK;-2.0;11.0;0.0
2015;1;1;NK;PBG;FLL;-16.0;-33.0;0.0
2015;1;1;NK;PHX;DFW;-1.0;1.0;0.0
2015;1;1;AS;ANC;PDX;-10.0;-11.0;0.0
2015;1;1;NK;IAG;FLL;-5.0;-11.0;0.0
2015;1;1;B6;SJU;EWR;-14.0;4.0;0.0
2015;1;1;US;PHX;CLT;-11.0;-36.0;0.0
2015;1;1;AS;ANC;SEA;-11.0;-12.0;0.0
2015;1;1;B6;PSE;MCO;-7.0;-9.0;0.0
2015;1;1;UA;BQN;EWR;-1.0;6.0;0.0
2015;1;1;B6;BQN;MCO;-3.0;20.0;0.0
2015;1;1;B6;SJU;BOS;-14.0;-16.0;0.0
2015;1;1;B6;SJU;MCO;95.0;85.0;0.0
2015;1;1;B6;BQN;MCO;4.0;-7.0;0.0
2015;1;1;B6;PSE;MCO;-11.0;-1.0;0.0
2015;1;1;B6;SJU;BDL;72.0;89.0;0.0
2015;1;1;US;ORD;PHX;-1.0;3.0;0.0
2015;1;1;AS;GEG;SEA;-4.0;0.0;0.0
2015;1;1;HA;HNL;ITO;-8.0;-6.0;0.0
2015;1;1;OO;ONT;SFO;13.0;9.0;0.0
2015;1;1;HA;HNL;KOA;-1.0;5.0;0.0
2015;1;1;AS;ANC;SEA;-8.0;-14.0;0.0
2015;1;1;HA;HNL;OGG;-11.0;-11.0;0.0
2015;1;1;UA;ORD;IAH;4.0;11.0;0.0
2015;1;1;AA;MCO;MIA;-3.0;-11.0;0.0
2015;1;1;NK;BOS;MYR;-4.0;-10.0;0.0
2015;1;1;OO;HIB;MSP;-10.0;0.0;0.0
2015;1;1;OO;ABR;MSP;-2.0;-4.0;0.0
2015;1;1;US;SEA;PHX;-5.0;-2.0;0.0
2015;1;1;AA;DFW;MIA;108.0;102.0;0.0
2015;1;1;AA;BOS;MIA;-5.0;2.0;0.0
2015;1;1;EV;MKE;IAH;2.0;13.0;0.0
2015;1;1;US;PDX;PHX;60.0;60.0;0.0
2015;1;1;AA;IAH;MIA;58.0;54.0;0.0
2015;1;1;DL;BNA;DTW;-9.0;-6.0;0.0
2015;1;1;EV;BRO;IAH;-3.0;-5.0;0.0
2015;1;1;EV;VPS;ATL;-6.0;-15.0;0.0
2015;1;1;OO;BOI;SFO;5.0;3.0;0.0
2015;1;1;OO;BJI;MSP;-3.0;9.0;0.0
2015;1;1;HA;HNL;LIH;-10.0;-12.0;0.0
2015;1;1;EV;BNA;ATL;0.0;5.0;0.0
2015;1;1;UA;PHL;IAH;2.0;6.0;0.0
2015;1;1;UA;PDX;DEN;4.0;4.0;0.0
2015;1;1;UA;SEA;DEN;-1.0;-1.0;0.0
2015;1;1;AA;DEN;DFW;53.0;66.0;0.0
2015;1;1;EV;SBN;ORD;-3.0;-14.0;0.0
2015;1;1;F9;PHL;MCO;-4.0;-18.0;0.0
2015;1;1;NK;ORD;FLL;-4.0;-25.0;0.0
2015;1;1;OO;EUG;DEN;-4.0;13.0;0.0
2015;1;1;UA;SFO;DEN;19.0;26.0;0.0
2015;1;1;UA;ORD;DEN;7.0;3.0;0.0
2015;1;1;UA;IAD;IAH;6.0;14.0;0.0
2015;1;1;B6;BUF;JFK;-5.0;-15.0;0.0
2015;1;1;B6;PWM;JFK;-7.0;-25.0;0.0
2015;1;1;B6;JFK;SJU;43.0;19.0;0.0
2015;1;1;EV;CRP;IAH;-12.0;-21.0;0.0
2015;1;1;EV;PIA;DTW;-5.0;-18.0;0.0
2015;1;1;EV;ORD;DTW;15.0;-3.0;0.0
2015;1;1;OO;FAT;LAX;-5.0;0.0;0.0
2015;1;1;UA;SMF;DEN;56.0;78.0;0.0
2015;1;1;OO;AUS;LAX;-3.0;-16.0;0.0
2015;1;1;B6;BOS;BWI;-4.0;-21.0;0.0
2015;1;1;B6;ORD;BOS;-11.0;-33.0;0.0
2015;1;1;DL;PHX;DTW;148.0;128.0;0.0
2015;1;1;DL;MCI;ATL;6.0;-15.0;0.0
2015;1;1;DL;BOS;DTW;-3.0;-21.0;0.0
2015;1;1;EV;ATL;IAD;16.0;14.0;0.0
2015;1;1;EV;JAX;EWR;-9.0;-14.0;0.0
2015;1;1;OO;MFR;DEN;-2.0;25.0;0.0
2015;1;1;OO;SLC;IAH;-3.0;-16.0;0.0
2015;1;1;OO;IDA;DEN;-2.0;7.0;0.0
2015;1;1;F9;MSN;DEN;-10.0;-11.0;0.0
2015;1;1;OO;MKE;DTW;-2.0;-21.0;0.0
2015;1;1;UA;GEG;DEN;-3.0;-6.0;0.0
2015;1;1;UA;SEA;IAH;-4.0;11.0;0.0
2015;1;1;UA;DCA;IAH;5.0;-7.0;0.0
2015;1;1;AA;SAT;DFW;-6.0;-12.0;0.0
2015;1;1;AA;JFK;MIA;55.0;69.0;0.0
2015;1;1;B6;BOS;PBI;6.0;-9.0;0.0
2015;1;1;B6;BOS;JFK;-2.0;-13.0;0.0
2015;1;1;B6;JFK;BQN;0.0;-19.0;0.0
2015;1;1;DL;DFW;ATL;18.0;-2.0;0.0
2015;1;1;EV;CHS;EWR;-5.0;1.0;0.0
2015;1;1;F9;MKE;DEN;36.0;17.0;0.0
2015;1;1;F9;MSP;DEN;-7.0;-8.0;0.0
2015;1;1;OO;DEN;LAX;73.0;56.0;0.0
2015;1;1;OO;SBA;DEN;-3.0;10.0;0.0
2015;1;1;HA;HNL;KOA;-8.0;-6.0;0.0
2015;1;1;B6;BOS;BUF;-9.0;-6.0;0.0
2015;1;1;UA;PDX;EWR;-3.0;-35.0;0.0
2015;1;1;US;IND;PHX;-5.0;4.0;0.0
2015;1;1;UA;LAX;DEN;0.0;-9.0;0.0
2015;1;1;UA;CLE;IAH;39.0;43.0;0.0
2015;1;1;UA;BOS;EWR;2.0;-19.0;0.0
2015;1;1;US;DEN;PHX;0.0;-10.0;0.0
2015;1;1;US;MCI;PHX;-6.0;-5.0;0.0
2015;1;1;AA;AUS;DFW;-2.0;-1.0;0.0
2015;1;1;AA;LAX;DFW;10.0;2.0;0.0
2015;1;1;DL;GSP;ATL;0.0;0.0;0.0
2015;1;1;B6;MCO;EWR;-2.0;-7.0;0.0
2015;1;1;EV;MCI;IAH;-2.0;1.0;0.0
2015;1;1;EV;BDL;IAD;-7.0;-19.0;0.0
2015;1;1;EV;RIC;IAH;-2.0;13.0;0.0
2015;1;1;OO;BFL;DEN;6.0;20.0;0.0
2015;1;1;OO;SAT;SFO;7.0;-19.0;0.0
2015;1;1;OO;OMA;IAH;15.0;21.0;0.0
2015;1;1;OO;RDM;DEN;-1.0;6.0;0.0
2015;1;1;B6;FLL;BDL;-2.0;9.0;0.0
2015;1;1;EV;CID;ATL;0.0;-17.0;0.0
2015;1;1;WN;SFO;DEN;-2.0;-2.0;0.0
2015;1;1;UA;MCO;LAX;2.0;4.0;0.0
2015;1;1;UA;TPA;EWR;-6.0;-13.0;0.0
2015;1;1;AA;SEA;DFW;0.0;16.0;0.0
2015;1;1;AA;BOS;DFW;-4.0;-10.0;0.0
2015;1;1;B6;SYR;JFK;-5.0;-13.0;0.0
2015;1;1;B6;ROC;JFK;-5.0;-17.0;0.0
2015;1;1;EV;TYR;DFW;-9.0;-9.0;0.0
2015;1;1;EV;MCI;ORD;-1.0;-12.0;0.0
2015;1;1;EV;LAN;ORD;0.0;6.0;0.0
2015;1;1;EV;BUF;EWR;213.0;226.0;0.0
2015;1;1;EV;GSO;EWR;-18.0;-22.0;0.0
2015;1;1;NK;ORD;LGA;-9.0;27.0;0.0
2015;1;1;UA;LAX;IAH;-2.0;-16.0;0.0
2015;1;1;AA;EWR;MIA;-7.0;-13.0;0.0
2015;1;1;OO;ONT;DEN;119.0;116.0;0.0
2015;1;1;UA;MSP;DEN;-4.0;-23.0;0.0
2015;1;1;UA;PBI;IAH;-5.0;-3.0;0.0
2015;1;1;UA;PHX;IAH;111.0;123.0;0.0
2015;1;1;UA;RSW;IAH;0.0;-1.0;0.0
2015;1;1;UA;EWR;MCO;3.0;-18.0;0.0
2015;1;1;UA;OMA;ORD;12.0;-6.0;0.0
